model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,,,,,"0 = Auto, 1 = manual",,,,Manual cars,,Automatic cars,
Camaro Z28,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,,,,,13.3,0,,,,,,
Pontiac Firebird,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,,,,,19.2,0,,,,,,
Fiat X1-9,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,,,,,27.3,1,,,,,,
Porsche 914-2,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,,,,,26,1,,,,,,
Lotus Europa,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,,,,,30.4,1,,,,,,
Ford Pantera L,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,,,,,15.8,1,,,,,,
Ferrari Dino,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,,,,,19.7,1,,,,,,
Maserati Bora,15,8,301,335,3.54,3.57,14.6,0,1,5,8,,,,,15,1,,,,,,
Volvo 142E,21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,,,,,21.4,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,model,cyl,mpg,"0 = Auto, 1 = manual",,,,,,,,,,,,,,,,,,,
,Mazda RX4,6,21,1,,,,,,,,,"0 = Auto, 1 = manual",,,,,"0 = Auto, 1 = manual",,,,,"0 = Auto, 1 = manual"
,Mazda RX4 Wag,6,21,1,,,,,,Datsun 710,4,22.8,1,,Mazda RX4,6,21,1,,Hornet Sportabout,8,18.7,0
,Datsun 710,4,22.8,1,,,,,,Merc 240D,4,24.4,0,,Mazda RX4 Wag,6,21,1,,Duster 360,8,14.3,0
,Hornet 4 Drive,6,21.4,0,,,,,,Merc 230,4,22.8,0,,Hornet 4 Drive,6,21.4,0,,Merc 450SE,8,16.4,0
,Hornet Sportabout,8,18.7,0,,,,,,Fiat 128,4,32.4,1,,Valiant,6,18.1,0,,Merc 450SL,8,17.3,0
,Valiant,6,18.1,0,,,,,,Honda Civic,4,30.4,1,,Merc 280,6,19.2,0,,Merc 450SLC,8,15.2,0
,Duster 360,8,14.3,0,,,,,,Toyota Corolla,4,33.9,1,,Merc 280C,6,17.8,0,,Cadillac Fleetwood,8,10.4,0
,Merc 240D,4,24.4,0,,,,,,Toyota Corona,4,21.5,0,,Ferrari Dino,6,19.7,1,,Lincoln Continental,8,10.4,0
,Merc 230,4,22.8,0,,,,,,Fiat X1-9,4,27.3,1,,,,19.74285714,,,Chrysler Imperial,8,14.7,0
,Merc 280,6,19.2,0,,,,,,Porsche 914-2,4,26,1,,,,,,,Dodge Challenger,8,15.5,0
,Merc 280C,6,17.8,0,,,,,,Lotus Europa,4,30.4,1,,,,,,,AMC Javelin,8,15.2,0
,Merc 450SE,8,16.4,0,,,,,,Volvo 142E,4,21.4,1,,,,,,,Camaro Z28,8,13.3,0
,Merc 450SL,8,17.3,0,,,,,,,,26.66363636,,,,,,,,Pontiac Firebird,8,19.2,0
,Merc 450SLC,8,15.2,0,,,,,,,,,,,,,,,,Ford Pantera L,8,15.8,1
,Cadillac Fleetwood,8,10.4,0,,,,,,,,,,,,,,,,Maserati Bora,8,15,1
,Lincoln Continental,8,10.4,0,,,,,,,,,,,,,,,,,,15.1,
,Chrysler Imperial,8,14.7,0,,,,,22.8,,,4- Auto,4 - Man,6 - Auto,6 - Man,8 - Auto,8 - Man,,,,,,
,Fiat 128,4,32.4,1,,,,,24.4,,,24.4,22.8,21.4,21,18.7,15.8,,,,,,
,Honda Civic,4,30.4,1,,,,,22.8,,,22.8,32.4,18.1,21,14.3,15,,,,,,
,Toyota Corolla,4,33.9,1,,,,,32.4,,,21.5,30.4,19.2,19.7,16.4,,,,,,,
,Toyota Corona,4,21.5,0,,,,,30.4,,,,33.9,17.8,,17.3,,,,,,,
,Dodge Challenger,8,15.5,0,,,,,33.9,,,,27.3,,,15.2,,,,,,,
,AMC Javelin,8,15.2,0,,,,,21.5,,,,26,,,10.4,,,,,,,
,Camaro Z28,8,13.3,0,,,,,27.3,,,,30.4,,,10.4,,,,,,,
,Pontiac Firebird,8,19.2,0,,,,,26,,,,21.4,,,14.7,,,,,,,
,Fiat X1-9,4,27.3,1,,,,,30.4,,,,,,,15.5,,,,,,,
,Porsche 914-2,4,26,1,,,,,21.4,,,,,,,15.2,,,,,,,
,Lotus Europa,4,30.4,1,,,,,21,,,,,,,13.3,,,,,,,
,Ford Pantera L,8,15.8,1,,,,,21,,,,,,,19.2,,,,,,,
,Ferrari Dino,6,19.7,1,,,,,21.4,,,man&auto,3 cyl,trans * cyl,,,,,,,,,
,Maserati Bora,8,15,1,,,,,18.1,,,n = 2,n = 3,df = 2 (n = 3),,,,,,,,,
,Volvo 142E,4,21.4,1,,,,,19.2,,,SS = 2.58691,SS = 2.34,SS = 1.1,,,,,,,,,
,,,,,,,,,17.8,,,,,,,,,,,,,,
,,,,,,,,,19.7,,,,,,,,,,,,,,
,,,,,,,,,18.7,,,,,,,,,,,,,,
,,,,,,,,,14.3,,,,,,,,,,,,,,
,,,,,,,,,16.4,,,,,,,,,,,,,,
,,,,,,,,,17.3,,,,,,,,,,,,,,
,,,,,,,,,15.2,,,,,,,,,,,,,,
,,,,,,,,,10.4,,,,,,,,,,,,,,
,,,,,,,,,10.4,,,,,,,,,,,,,,
,,,,,,,,,14.7,,,,,,,,,,,,,,
,,,,,,,,,15.5,,,,,,,,,,,,,,
,,,,,,,,,15.2,,,,,,,,,,,,,,
,,,,,,,,,13.3,,,,,,,,,,,,,,
,,,,,,,,,19.2,,,,,,,,,,,,,,
,,,,,,,,,15.8,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,
,,,,,,,,,6.026948052,,,,,,,,,,,,,,
